week,source_city_name_en,new_executors,new_clients
2023-05-01,Krasnodar,40,1940
2023-05-08,Krasnodar,49,1872
2023-05-15,Krasnodar,34,1974
2023-05-22,Krasnodar,39,2108
2023-05-29,Krasnodar,40,2116
2023-06-05,Krasnodar,85,2468
2023-06-12,Krasnodar,65,2372
2023-06-19,Krasnodar,60,2163
2023-06-26,Krasnodar,34,2321
2023-07-03,Krasnodar,39,2212
2023-07-10,Krasnodar,49,2366
2023-07-17,Krasnodar,38,2355
2023-07-24,Krasnodar,45,2361
2023-05-01,Moscow,682,10705
2023-05-08,Moscow,757,10091
2023-05-15,Moscow,1062,12286
2023-05-22,Moscow,855,13269
2023-05-29,Moscow,890,14386
2023-06-05,Moscow,770,13549
2023-06-12,Moscow,707,12567
2023-06-19,Moscow,649,12378
2023-06-26,Moscow,656,13478
2023-07-03,Moscow,803,13193
2023-07-10,Moscow,717,13328
2023-07-17,Moscow,731,12661
2023-07-24,Moscow,708,13320
2023-05-01,Novosibirsk,33,1667
2023-05-08,Novosibirsk,33,1521
2023-05-15,Novosibirsk,38,1681
2023-05-22,Novosibirsk,37,1757
2023-05-29,Novosibirsk,31,1698
2023-06-05,Novosibirsk,35,1632
2023-06-12,Novosibirsk,37,1652
2023-06-19,Novosibirsk,21,1668
2023-06-26,Novosibirsk,51,1888
2023-07-03,Novosibirsk,19,1804
2023-07-10,Novosibirsk,24,1782
2023-07-17,Novosibirsk,38,1738
2023-07-24,Novosibirsk,41,1858
2023-05-01,Saint-Petersburg,123,2923
2023-05-08,Saint-Petersburg,97,2912
2023-05-15,Saint-Petersburg,130,3296
2023-05-22,Saint-Petersburg,123,3462
2023-05-29,Saint-Petersburg,116,3804
2023-06-05,Saint-Petersburg,120,3642
2023-06-12,Saint-Petersburg,137,3658
2023-06-19,Saint-Petersburg,107,3803
2023-06-26,Saint-Petersburg,123,4146
2023-07-03,Saint-Petersburg,124,3929
2023-07-10,Saint-Petersburg,132,4027
2023-07-17,Saint-Petersburg,140,4020
2023-07-24,Saint-Petersburg,115,3723
