dt,exp_is_bigger,requests
2023-08-01,0,3460503
2023-08-01,1,2241819
2023-08-02,0,3351366
2023-08-02,1,2253302
2023-08-03,0,3578544
2023-08-03,1,2448764
2023-08-04,0,3926333
2023-08-04,1,2936302
2023-08-05,0,4035113
2023-08-05,1,2328549
2023-08-06,0,3448662
2023-08-06,1,2238408
2023-08-07,0,3370307
2023-08-07,1,2308382
2023-08-08,0,3049276
2023-08-08,1,2224835
2023-08-09,0,3195355
2023-08-09,1,2215907
2023-08-10,0,3480438
2023-08-10,1,2497811
2023-08-11,0,4029365
2023-08-11,1,2908220
2023-08-12,0,3912386
2023-08-12,1,2623707
2023-08-13,0,3340590
2023-08-13,1,1928259
2023-08-14,0,3391484
2023-08-14,1,2069377
2023-08-15,0,3535921
2023-08-15,1,2476305
2023-08-16,0,3598013
2023-08-16,1,2735136
2023-08-17,0,3747356
2023-08-17,1,2861613
2023-08-18,0,4122250
2023-08-18,1,3031714
2023-08-19,0,3840330
2023-08-19,1,2764665
2023-08-20,0,3774082
2023-08-20,1,3040275
2023-08-21,0,3515757
2023-08-21,1,2622515
2023-08-22,0,3121795
2023-08-22,1,2461035
2023-08-23,0,3686635
2023-08-23,1,2571401
2023-08-24,0,3230101
2023-08-24,1,2543995
2023-08-25,0,4074281
2023-08-25,1,2747688
2023-08-26,0,4184685
2023-08-26,1,2694373
2023-08-27,0,3696516
2023-08-27,1,2438668
2023-08-28,0,3695561
2023-08-28,1,2542843
2023-08-29,0,3610544
2023-08-29,1,3179179
2023-08-30,0,4066128
2023-08-30,1,3373243
2023-08-31,0,2831258
2023-08-31,1,2696207
2023-09-01,0,2629368
2023-09-01,1,2326634
2023-09-02,0,2455754
2023-09-02,1,2035360
2023-09-03,0,2056207
2023-09-03,1,1546593
2023-09-04,0,1391120
2023-09-04,1,1078394
