dt,exp_is_bigger,requests
2023-07-08,0,2636430
2023-07-08,1,1407989
2023-07-09,0,2420366
2023-07-09,1,1289649
2023-07-10,0,2293397
2023-07-10,1,1311961
2023-07-11,0,2324156
2023-07-11,1,1323655
2023-07-12,0,2308749
2023-07-12,1,1322876
2023-07-13,0,2978292
2023-07-13,1,1818424
2023-07-14,0,2629608
2023-07-14,1,1508100
2023-07-15,0,2667669
2023-07-15,1,1396414
2023-07-16,0,2425247
2023-07-16,1,1272096
2023-07-17,0,2392246
2023-07-17,1,1307102
2023-07-18,0,2812644
2023-07-18,1,1473894
2023-07-19,0,2803002
2023-07-19,1,1557430
2023-07-20,0,2532084
2023-07-20,1,1393934
2023-07-21,0,2673614
2023-07-21,1,1510231
2023-07-22,0,2880836
2023-07-22,1,1368562
2023-07-23,0,2593585
2023-07-23,1,1287573
2023-07-24,0,2174902
2023-07-24,1,1046621
2023-07-25,0,2557005
2023-07-25,1,1338717
2023-07-26,0,2739932
2023-07-26,1,1567018
2023-07-27,0,2493362
2023-07-27,1,1439955
2023-07-28,0,2990471
2023-07-28,1,1796305
2023-07-29,0,2560868
2023-07-29,1,1540665
2023-07-30,0,2381978
2023-07-30,1,1466945
2023-07-31,0,2335829
2023-07-31,1,1388600
2023-08-01,0,2437051
2023-08-01,1,1352455
2023-08-02,0,2408923
2023-08-02,1,1400304
2023-08-03,0,2555658
2023-08-03,1,1498139
2023-08-04,0,2771910
2023-08-04,1,1732259
2023-08-05,0,3008656
2023-08-05,1,1604355
2023-08-06,0,2535387
2023-08-06,1,1559205
2023-08-07,0,2440851
2023-08-07,1,1438577
2023-08-08,0,2267945
2023-08-08,1,1418813
2023-08-09,0,2320636
2023-08-09,1,1382808
2023-08-10,0,2463130
2023-08-10,1,1494156
2023-08-11,0,2765075
2023-08-11,1,1697475
2023-08-12,0,2688809
2023-08-12,1,1731666
2023-08-13,0,2400468
2023-08-13,1,1313910
2023-08-14,0,2452045
2023-08-14,1,1300909
2023-08-15,0,2485039
2023-08-15,1,1498333
2023-08-16,0,2509557
2023-08-16,1,1619951
2023-08-17,0,2577233
2023-08-17,1,1711454
2023-08-18,0,2776653
2023-08-18,1,1768489
2023-08-19,0,2712736
2023-08-19,1,1881560
2023-08-20,0,2438667
2023-08-20,1,1846511
2023-08-21,0,2319949
2023-08-21,1,1501207
2023-08-22,0,2212816
2023-08-22,1,1531582
2023-08-23,0,2370781
2023-08-23,1,1563469
2023-08-24,0,2260752
2023-08-24,1,1678287
2023-08-25,0,2645594
2023-08-25,1,1775842
2023-08-26,0,2779501
2023-08-26,1,1703452
2023-08-27,0,2350035
2023-08-27,1,1533281
2023-08-28,0,2419136
2023-08-28,1,1517782
2023-08-29,0,2193978
2023-08-29,1,1756608
2023-08-30,0,2369608
2023-08-30,1,1764264
2023-08-31,0,1772584
2023-08-31,1,1433782
2023-09-01,0,1457753
2023-09-01,1,1311943
2023-09-02,0,1380265
2023-09-02,1,1162189
2023-09-03,0,1185879
2023-09-03,1,883053
2023-09-04,0,850141
2023-09-04,1,630432
