dt,exp_is_bigger,requests
2023-08-04,0,2771910
2023-08-04,1,1732259
2023-08-05,0,3008656
2023-08-05,1,1604355
2023-08-06,0,2535387
2023-08-06,1,1559205
2023-08-07,0,2440851
2023-08-07,1,1438577
2023-08-08,0,2267945
2023-08-08,1,1418813
2023-08-09,0,2320636
2023-08-09,1,1382808
2023-08-10,0,2463130
2023-08-10,1,1494156
2023-08-11,0,2765075
2023-08-11,1,1697475
2023-08-12,0,2688809
2023-08-12,1,1731666
2023-08-13,0,2400468
2023-08-13,1,1313910
2023-08-14,0,2452045
2023-08-14,1,1300909
2023-08-15,0,2485039
2023-08-15,1,1498333
2023-08-16,0,2509557
2023-08-16,1,1619951
2023-08-17,0,2577233
2023-08-17,1,1711454
2023-08-18,0,2776653
2023-08-18,1,1768489
2023-08-19,0,2712736
2023-08-19,1,1881560
2023-08-20,0,2438667
2023-08-20,1,1846511
2023-08-21,0,2319949
2023-08-21,1,1501207
2023-08-22,0,2212816
2023-08-22,1,1531582
2023-08-23,0,2370781
2023-08-23,1,1563469
2023-08-24,0,2260752
2023-08-24,1,1678287
2023-08-25,0,2645594
2023-08-25,1,1775842
2023-08-26,0,2779501
2023-08-26,1,1703452
2023-08-27,0,2350035
2023-08-27,1,1533281
2023-08-28,0,2419136
2023-08-28,1,1517782
2023-08-29,0,2193978
2023-08-29,1,1756608
2023-08-30,0,2369608
2023-08-30,1,1764264
2023-08-31,0,1772584
2023-08-31,1,1433782
2023-09-01,0,1457753
2023-09-01,1,1311943
2023-09-02,0,1380265
2023-09-02,1,1162189
2023-09-03,0,1185879
2023-09-03,1,883053
2023-09-04,0,850141
2023-09-04,1,630432
2023-09-05,0,231109
2023-09-05,1,193671
2023-09-06,0,247709
2023-09-06,1,194638
2023-09-07,0,308628
2023-09-07,1,163245
2023-09-08,0,321720
2023-09-08,1,185412
2023-09-09,0,232634
2023-09-09,1,138096
2023-09-10,0,197322
2023-09-10,1,123166
2023-09-11,0,266931
2023-09-11,1,160487
2023-09-12,0,270730
2023-09-12,1,157162
2023-09-13,0,249948
2023-09-13,1,172589
2023-09-14,0,274613
2023-09-14,1,175540
2023-09-15,0,277218
2023-09-15,1,207158
2023-09-16,0,211401
2023-09-16,1,143413
2023-09-17,0,182568
2023-09-17,1,125337
2023-09-18,0,241154
2023-09-18,1,162143
2023-09-19,0,256187
2023-09-19,1,155395
2023-09-20,0,274213
2023-09-20,1,168500
2023-09-21,0,233930
2023-09-21,1,170698
2023-09-22,0,252533
2023-09-22,1,171853
2023-09-23,0,207688
2023-09-23,1,118808
2023-09-24,0,180878
2023-09-24,1,104069
2023-09-25,0,226802
2023-09-25,1,151283
2023-09-26,0,272618
2023-09-26,1,153220
2023-09-27,0,304669
2023-09-27,1,154543
2023-09-28,0,300568
2023-09-28,1,159247
2023-09-29,0,317157
2023-09-29,1,181025
2023-09-30,0,250247
2023-09-30,1,145039
2023-10-01,0,211500
2023-10-01,1,122837
2023-10-02,0,264993
2023-10-02,1,161820
